00370a19 g_flMaterial1EmissiveLevel
66566e45 g_vNPCPosition10
668cdede g_tOutTexture
67198fd2 g_tMasks1
672c9d06 g_vOutercornerradii1
672d5720 TextureSelfIllum
672d5720 TextureSelfILlum
67331bc0 g_flScroll2X
673b2196 g_flLayer1EdgeOffset
673b6736 g_flTexCoordScale1
67610d3e g_flSlopeFade
6765158e g_tPrevFrameColor
67b83905 g_vNPCPosition08
67c1e897 g_flInteriorRefractRoughnessSqrt
67e02231 g_tInsideWallReturnToLevelColor
67e10043 g_tCompositeMorphTextureAtlas
67f08f35 AddressU
682e5635 g_flNoiseUvScale
683ee623 TextureBloom0
685917e4 g_flScrollWaveOffsetSeconds1
6885d93f g_vColorTintC2
68f2358d g_tInputColor
68fb1929 g_tLowResGBufferNormals
694ec620 ExternalTestCB2
69570702 g_vLayer0RoughnessScaleAndBias
697f00ec g_flBackFaceDisplacement
69c52219 TextureTint2Mask2
69efc117 g_flInnerRadius
69fb04fc g_fSpecularRoughness
6a164523 g_flNormalTexCoordScale1
6a24df38 g_flNormalTexCoordScale0
6a2525a7 g_vThresholdParams
6a7e0a43 TextureCubeMap
6a97b34e g_tSceneNormalSpecExp
6abec74a g_nEnvMapIndex
6b0773a9 g_vMoonlightDirWs
6b3ea0fa g_flLayer3BorderOffset
6b51529d g_tInputSmallBlur
6ba9400a g_flParallaxStrength
6bf39095 g_tEffectMask
6bf95d74 g_nSampleCount
6bfdf8a9 g_flLowEndSurfaceFactor
6c111c7e g_tHDRBuffer
6c54b011 TextureSelfIllumFlowWaveform
6c952e54 g_flHatchingAnimSpeed
6cbf5da3 g_tSrcTex
6d06695c g_flBackgroundEffectMaskWithNoise
6d2a9072 TextureCubeMapReflect
6d74dce3 g_flDirectionalLightmapStrength
6d8193f6 TextureAmbientOcclusionA
6d8e0845 g_flAccentEffectMaskWithNoise
6d9c25a8 g_flColorExpRed
6da82ccf g_flMetalness
6dccec7b g_flParallaxStrength0
6dd96abc g_flWaterDepth
6e1e1f25 g_vColorTintC0
6e58f270 g_flAlphaFactor
6ececb40 g_vSunConfig5
6f5972ca g_tFogAccumulation
6f7f1040 g_flSelfIllumFlowFrequencyPass2
6f81770b g_tHighResAlbedo
6f870a09 TextureXenGlowMask
6f8d35dc g_tHatching
6fc4c9cb g_flUniformPointSize
6fd6a11e g_tFogCubeTexture
6fdcbfb0 g_flBloomShift
6fdec248 g_vInvSceneDepthDim
6ff8829b g_tScanlinesMoving
7024b0e2 g_tShadowDepthTexture
7025b05c g_vFrontTexCoordScale
703128e4 g_flLayer3EdgeNormalSoftness
704e3cf5 g_flMaskMaximum
7067f8b2 TextureBackgroundEffectPattern
70707201 g_tSpecular1
7096aa5a TextureLayer4RevealMask
709eca74 FoliageUvAnimation
70bef7f1 TextureLayer3Glossiness
70d38317 OutScatteringTexture
70e8f548 g_tFlowPhaseDetail
710e1fa6 g_vBorderColorTint2
7164d3b8 g_tContrastControl
718a03a8 g_tColorTexture
71930c61 g_vAltFowCameraPosition
71adf8c9 g_vBubbleColorOuter
71b07202 DotaHeightFogParams_t
71e961d1 g_flNormalStrength
72108b37 g_flTintMaskCutOff
726b0267 g_flCutoffAngle
73230f91 g_flFlowFrequency
7325c934 TextureDetailColor
73672150 g_vTexelSize
7380f97d g_vSpecularTint
73b0171e g_vSelfIllumFlowParams
73bb9409 TextureMetalness
7425dc38 g_flFadeValue
743a6cc0 VSyncControl
743c557f g_flExposure
744e95b9 g_flCubeRefractLiquidTransparency
747062df g_tDepth
74c020ad g_vBr
74ca44f4 g_flGradientBottom
753a954f g_flHeightFadeSharpness
754498f0 g_vProjInfo
75461ead g_vTexCoordScrollSpeed
75492bf0 g_vBoxMin
75d33bca g_bBranchMotionPerpendicular
75ea0da8 g_vDetail2TexCoordOffset
76006f0b SFMLightsConstantBuffer_t
760a483f g_vFlowPhaseDetailTexCoordScale
76121c6d FilterTapConstantBuffer_t
765059b9 g_vAlphaTexCoordXform
76775fe4 g_tTextureLayer3
76a05552 g_vFogBoundingBoxBiasScale
76da104f g_tSelfIllumFlowWaveform
76eaa702 g_vColor2
76f4786d TextureAmbientOcclusionB
76f97f3e g_flBaseBloom
77458373 g_tNormal3
778b5fb5 IrisNormal
779128f7 g_tPositionKeyFrames
779e702b g_nDownsampleRatio
77ebc79a g_flFrame
77fbb2a8 g_tOnGradient
7907fcfc g_tLayer1Reflectance
7928eb52 g_vSpecularColor
79477df4 g_vDetail2ColorTint
794f3e2b TexturePaper
7958b7bb PerViewConstantBuffer_t
79b0afb7 g_flSelfIllumAlbedoFactor
79ca34a7 g_tDecalBlendMask
79ecb61e g_flIndirectContrastBoost
79ee520d g_flGrassHeightMin
79f8f9e9 g_vNearPlaneDown
7a05f0fd g_vRelativeViewport
7a3b4bc6 g_vTransmissionFalloffColor
7a50fd69 g_flTexCoordRotate0
7a9a4c03 g_flNoiseScale
7aa3f069 g_tScrollSpeed
7ae0516e TextureDiffuseFalloff
7b1812b4 g_flFlowFallOff
7b207a4e TextureLuminosity
7b51c75d g_flNormalTexCoordScrollSpeedX1
7b568775 SrcBlendAlpha
7b95382f g_vEmissiveColor
7ba70118 g_flLiquidRoughness
7c15f64c g_flReticuleSize
7c18ad8d g_vColorTintD0
7c2ed3c3 g_vLiquidLevelSidewardsMinMidMax
7c46bb5b g_flLowEndSurfaceOpacity
7c8be05c g_tInputShrunk
7caab39b g_flFogDetailScale
7ce91ef4 PerViewLightingConstantBuffer_t
7d0aa9dc g_flInteriorAmbientLightScale
7d221d3e TextureExteriorCubeMap
7d24f5c4 g_flLayer1Max
7d3b21b3 TextureSpecularWarp
7d508e02 g_flBlendNormalY
7d55f01e g_tNormalAndSpec
7d7bbbf7 g_flNormalTexCoordVScale
7d86bacc g_vErrorColorTint
7d8a4049 g_flBorderTintSoftness1
7d8cfbe9 g_flScrollWaveSecondsPerCycle2
7df2e089 g_flMaterialBTintAmount
7e12d986 g_flBorderTintStrength2
7e2c965c g_vVolumeCoord
7e3c8911 g_vQuarterResEffectsBloomSrcViewport
7e43b381 g_flSpiralAlphaMin
7e971ed8 g_flFlickering1Speed
7eacd091 g_vAnimationGrid
7ede4a4d g_flBloodMaskRangeMin
7ee2f647 g_flDetailBlendFactor
7ef7bd30 TextureMaskA
7efe56d6 g_flSplatScale
7f95deab g_flBrightnessMultiplier
7faab7c7 g_flScrollWaveOffsetSeconds3
7fdc6e24 g_tLayer1GradientReveal
7ffffd11 g_flBackgroundEffectCubemapDiffuseTint
80125b72 TextureTintMask
801a694d g_vFlowColor
80295f17 g_vInvDepthTextureDim
8033e88a g_tTint
803efd85 g_flPreDistortionRenderSizeFactor
8045887e g_vMoonConfig2
8056a3a8 TextureLayer2Glossiness
805c7578 TextureColor3
80d45178 g_vTransmissiveColorTint
80db6717 g_flColorWarpBlendFactor
80e0d9c7 g_vTexCoordScale0
80e90ddd g_tSsao
80e90ddd g_tSSAO
80f2299c g_flVignetteExponent
81178753 TextureTransmissiveMask
811a4eb4 g_tMasks
81415d63 g_tSceneDepth
8146530c g_tTextureLayer3Clamped
817236c2 g_tLastFrameTexture
81b789d2 g_nFogClipmapTexelOffsetY
81bf1951 g_flWarpStrength
81d373c0 g_bIsDeprecated
81e466e9 g_bAvoidDoubleFogging
821f341a g_vCutoffBiasScale
822ce5b8 g_vOccludedColorA
822d6872 g_bCubemapNormalization
825adf6f g_bReversePush
825db263 TextureColor1
8271e4a8 g_flTestFoaming
82a17ed7 g_tHeightfield
82b0ec5a TextureCubeMapRefract
82d14363 g_flMaterial2TintAmount
82ec5de3 g_flLayer3EdgeStrength
8315ec5f TextureLayer1Color
833cc244 g_tFlowWaveform
835a59ff g_vColorTintB2
835cb272 g_flReflectTintAmount
83986918 g_vInsideWallReturnTint
83995496 g_flNormalTexCoordScrollSpeedY1
83aeaca7 g_vFrontTexCoordOffset
83b6567d g_flHeightFogTop
83da7936 g_flLiquidWobbleScale
83e72e38 g_vInvTexDim
83e8acdf g_vBlurTint2
83f9f757 g_flBackgroundHologramNoiseOffset
840f3463 g_flMaxInk
845a7bc1 g_flAccentEffectNormalStrength
846e1a17 g_flBloodSpecularBoost
84857141 g_tTranslucency
849d405f g_flMaterial0TintAmount
84befc2e g_flThickness
84f90ff7 g_flLiquidWobbleSpeed
84fde409 g_flSpecularExponent
850f8ef3 g_flEmissiveBrightness
852b90fc g_vScreenSpaceTranslucentViewportRatio
852bbda9 g_tGBufferLightingTerms
8538b5a7 g_flBlurCosAngThresh
858da5b8 CurrentMipTexture
858e4fae g_flOutlineWidth
85a787d1 PerViewConstantBufferVR_t
85d07b11 g_flBackgroundEffectNormalTiling
8604a576 g_vWorldSpaceFlowOrigin
865b5a6a g_vReflectionDir
86604c69 g_flFogMaxDotEnd
866bb82b g_flBorderWidthPx
867a9c35 g_vFadeParams
8693c01c g_flOnAlpha
86ca26a1 PerLayerConstantBuffer_t
86db4555 g_tDisplacementMask
86df5654 g_flScrollWaveOffsetSeconds0
870858f0 g_flRefractRoughnessMultiplier
87132e83 g_flSelfIllumFlowFrequency
87166781 g_flDetailBlendToFull
8739fb64 g_flXenGlowPower
873d528d g_tGBufferLinearDepth
875e4394 g_flFace2Displacement
879bbe79 g_flHueShift
87e712fd g_tBloom
8815db7b g_flCutoutTextureBias
881bc83b g_flTravellingWindWavelength
8822a539 g_flEmissiveEdgeColorFalloff
8869c4ec g_vNormalTransform0U
887c3056 g_vMoonConfig0
887f656a g_vBlurParams
88992609 g_tMaskTexture1
889a8c33 g_tColorCorrection2
889f7198 g_vInteriorRefractTint
88b61798 g_vFullness
88e8ed2a g_flOcclusionWidth
89370909 g_vTexCoordOffset1
8937cfbe g_vLayer1ReflectanceScaleAndBias
8957f297 g_tScanlinesFlickering
897b959b TextureBloom3
898ab702 g_flOverride
89a6d821 g_flTintCycleMask
89c2b1fa g_Nebula
89f25d22 g_tIntegratedBRDF
89fbf5ae TransformConstantBuffer_t
8a81fa94 g_tStretchNormal
8a9892f1 TextureSquishNormal
8b27906a g_flFresnel2Power
8b2905a3 g_tTransmissiveThickness
8b33a546 TextureTransmissiveColor
8b4974dc g_tGBufferDepth
8b583091 g_tHeightFogTexture1
8b6a1184 g_vColorTint1
8b829245 g_flEmissiveStrength
8ba9268b g_vBlurTint0
8bf6ffe1 g_vFogBoundingBoxInvMinScaleWithBias0
8c21e900 g_flPhongExp
8c35b0c8 g_vSelfIllumTimeDot
8c538a1b g_tTintMask
8c733f6b g_nNumAnimationCells
8c7839ef g_tHeightMap
8c84b2cf g_flScrollWaveCycleSkip0
8c8a0227 g_flPremultipliedAlpha
8cb854aa g_tColorC
8cbda7d6 g_vRadialDistortionCoefficient
8cc5bf74 g_flBoundaryStrength
8cd5a7d8 g_flEdgeColorFalloff
8cddf1d2 TextureParallaxMask1
8cef5242 g_flTransmissiveColorBoost
8d07486c IrradTextureActiveRectCB
8d1e2fba g_vColorTintC1
8d4c453e g_vInteriorMixParams
8d7a6c72 g_flFullyCloakedRefractFactor
8d90ffa8 g_vLayer3ColorTint
8db84f59 g_flFlashlightAnimationAmplitude
8dc32324 g_tColor3
8dd586cc g_flMaterialATintAmount
8e84451d g_flSelfIllumOverallScale
8e97b2ab g_flRefractScale
8eaa1c7f g_flAlphaTestThreshold
8ec1c9bb g_flMipSharpness
8ef5ad72 g_tHeightArray
8f1aeabc g_flLiquidLevelHeightDelta
8f1d1692 g_bTexCoordScaleByModel
8f771fa9 g_flForceFogOpacity
8f8a5212 g_vTexCoordScale
8fa9d719 g_vWallPlane
8fcb0df0 SpecularDistortion
8ff1a387 TextureEffectMask
900c48e2 g_flFresnelExponent
900d43ae g_tBaseTextureClamped
9016128f g_nSequenceIndex
9040c776 g_flNormalFlowTimeIntervalInSeconds
90653644 g_flBloodMetalness
9078a520 g_bReverseTextureVAnimationDirection
90913b69 g_flJitterSpeed
9091cce5 g_tCodeSuppliedColor
90950ff0 g_tMotionVectors
90994518 g_vLayer4ReflectanceScaleAndBias
90d7b04a g_flNormalUvScale
90df050d g_flVectorLength
90f6a39b g_tInputInteractionVolume
9118edc3 GrimeColor
911cffe2 g_flBubbleOpacity
911f848f g_tInput
917d8dc8 g_vLayer1RoughnessScaleAndBias
91901795 g_vAlphaTexCoordScale
9191465c TextureEmissiveGradient
91a06d7e VolumetricFogConstantBuffer_t
91a584fc TextureBackgroundEffectNoise
91ab4268 g_flSpecularExponentBlendToFull
91c2ffc5 FFDTransforms_t
91e7efc7 g_tBaseTextureNoSRGBClamped
920ded3e g_flIndirectFresnelReflectance
926c5c4b Dof2CBParams_t
9297d885 g_vInvWidthHeight3
9299978e g_flSpecularBoost
929fcdee g_tReticuleTexture
92b494a3 g_vLayer2RoughnessScaleAndBias
92ca9c16 g_flHeightFadeDistance
92ff236d g_vToLightDir
932a70fc g_flBubblesMaximum
93801c22 g_vFogClipmapUVBiasScale0
93925597 GlassBackfaceDustTranslucency
93a72a11 g_vFBCopyTextureRect
93b6ec53 TextureNormalAlpha
93b92ad9 g_flMouthInteriorBrightnessScale
93e165a6 g_flGrimeBumpStrength
9427768a TextureLayer1Normal
943c29a2 g_tSkyTexture
94530292 g_bFogEnabled
9453b4ba g_vNPCVelocity02
94aed53b g_tDiffuseFalloff
94c71db8 g_flOcclusionAmount
94ce0c05 TextureCubeMapSeparateMask
94d4061f g_vInvQuarterResEffectsDim
94f7ef48 g_vBloomColor
9513d021 g_tHeightFogTexture0
95394a4d g_tShadowDepthMapAtlasDepth
95582c0e TextureIrisMask
95832c74 g_flGlobalIlluminationScale
95ecbdcc g_tTextureLayer1
966af288 g_bAlignAnimationToTextureV
96a758e9 g_vLayer2BorderColor
96d1c2ac g_flTintCycleFresnel
96d78af1 g_flHatchingContrast
96e9c899 g_vInnercornerradii0
9713d263 g_vHandPosition1
971ee0d9 g_vBackgroundEffectCubeMapTint
97475746 TextureSkinAndColorTint
97487fd3 g_bLayer1Mod2x
9783299b g_flChromaticDispersion
979760f2 g_vNPCVelocity07
97b4bea1 g_flLayer1Metalness
97bd4cad BackStencilFunc
97e06a7e g_flShadowSoftness
97e26d82 g_flBloodMaskRangeMax
97ea7bd1 TextureSelfIllumMaskBlood
97f5113a g_matFaceOcclusionWorldToTexture
980495b2 g_vFOWColor
9806bf74 g_bLayer3Mod2x
98253ae1 g_vAlphaCutoffScaleAndBias
983e3b82 g_tGBufferNormalWs
98522faa g_tHeight
986c3c85 g_flBlackoutAmount
988017db g_flXenRepulsionStart
9890e911 g_flDissolveEdgeIntensity
9898f18e g_tGrime
98bafd4f g_tFresnelEmission
9913df12 TextureNebula
9945dd8b g_vBloomUvScaleClamp
9973f22a g_tSpecular2
998c55fb g_vDecalCenter
9990b2cc g_tLayer4Reflectance
99a9830d g_flRefractInnerGlow
99b79746 g_vInvSizeTransformBuffer
99e103ec g_vLightColor
99ebf0c1 TextureFresnelWarpSpec
99f2b7b0 g_flRimLightStrength
99fb12c6 TextureContrastControl
9a0fb163 g_bJitterMotion
9a12c0c8 g_vFresnel2Color
9a4f69da OutLightingClipmap
9a5bc49c g_tHighResDepth
9a91a9f9 g_vCloakColorTint
9a973f05 g_flGreyScale
9aa1abef g_flSelfIllumFlowAmountPass2
9aa22ad4 g_matTransform
9aa22ad4 g_MatTransform
9ab0e31c g_vScleraDiffuseWrapParameters
9ae2917b g_tFilmGrain
9ae67214 g_flBorderTintStrength3
9b2f8af5 TextureFresnelWarpColor
9b69c96b g_flBranchDeflectionStart
9ba4ea9b g_flOutsideTextureScale
9ba6529b g_tClouds
9ba66c58 g_flSpecExp
9baad8c2 g_tReflectionMap
9bba191f g_flReticuleColor
9bf905e5 TextureTintByBaseMask
9c5ab877 TextureDetailSpecMask
9c65eb48 TextureFresnelWarpRim
9c822761 g_flEmissiveScale
9c89f3e5 g_tProjected
9c9af621 g_tInputTexture
9c9ef4ba g_vInvTextureDim
9cc01083 g_vMetalnessRange
9d0c0d4a g_vSecondaryTexCoordScale
9d25b84a g_flBlurSigma
9d5aa9a7 g_flEffectInTransparency
9d7ed287 g_vExplosion01
9d8a93af g_vNPCVelocity06
9ddf2b93 AutoFidelityVisualizationVr_t
9eb7fc9f g_vSunConfig4
9ece84a6 parsing alyx_hlvr_vulkan_v64
9ef60732 g_tInputCocNormalized
9f129cc4 g_tLightCookieTexture
9f202366 g_flAmbientOcclusionDirectDiffuse
9f3e376b g_vNormalTransform3V
9f484e44 TextureMask
9f49ddc9 g_tRandom
9f60d56e g_tRefractTint
9fa6dcc7 g_flBoundarySeparation
9fbae826 TextureOffReticule
a0376927 DepthFunc
a044599e DefaultSamplerState
a0cedc03 TextureNormal
a10922fd g_flChannelChoice
a10adf96 g_vOffColor
a10eb880 g_tSpiralOverlay
a13cd7f6 TextureRetroReflectiveMask
a1459a97 g_flFrondSpatialIncoherence
a1563cb3 TextureEnvironmentMap
a16ef565 g_tCombinedMasks
a17313c6 g_vBloodColor
a19d0f38 g_tOutputColor1010102
a1ad8fd1 g_flTransmissionFalloff
a1ba79b2 g_flHatchingDepth
a215a3d2 g_flInsideWallMiddleMinAngle
a21b1999 g_tDynamicAmbientOcclusionDepth
a24da8b4 g_flLightRangeForSelfShadowNormals
a2c46d2d g_flViewportWidth
a2d4eb79 PostProcessingConstantBuffer_t
a2f03724 g_vLayer3GlossinessRange
a2fd6c12 g_tScreenSpaceTranslucent
a31d407d g_flFrondFlutter
a3346b96 g_flPanelSpeed
a3436ed1 g_tDetail
a35b5cb9 g_tSquishColor
a371df69 TextureTintMask3
a37fbeb6 g_vFlowPhaseDetailTexCoordOffset
a392133c g_vSelfIllumTint
a3ae6bc0 g_vFogClipmapUVBiasScale1
a3d676da TextureEmissiveMaskB
a3e1694c g_vSolidColor
a4389314 g_flScrollWaveSecondsPerCycle0
a4843242 g_vMoonConfig6
a49b2cc3 g_flCubeMapPowerReflect
a49b624b TextureGlossiness
a4a0f1b6 g_vLayer1ReflectanceRange
a4e8470b g_vViewportExtentsTs
a528af69 TextureRoughnessB
a5451c34 g_vWaterFogColor
a56f47e9 g_flLayer3EdgeSoftness
a58eff51 g_flColorFlowTimeIntervalInSeconds
a5cc48c9 g_flFadeStartDistance
a5d6d1f9 g_bVisualizeLOD
a5e2715e g_tBackgroundEffectNormal
a609ace2 g_tPerfHUD
a6346723 SunLightShaderParamsCB
a69ed31d g_vSheetSequenceAndSizessNormalSpec
a6bbfe21 g_flContrast
a6efc909 g_flFlowAdditiveStrength
a7038a6d g_flSelfIllumFlowSpeedPass2
a716c3c4 g_flGrainSize
a71b4ca6 g_tUnwrappedRadianceCoeffsG
a729f10d g_vTexCoordScroll2
a73205d9 g_flEnable
a75b075f g_flFlowOffset
a7895b0a g_flViewportHeight
a797e490 g_flBlendNormalZ
a7ae1b02 g_flReflexOffTargetFadeInSpeed
a7cd3684 g_flSpiralBumpStrength
a7cf38d3 g_bindlessFastPathSet
a7e9aec4 g_vFBCopyTextureBiasScale
a80fb59c g_tSelfIllumMaskBlood
a82e2f98 g_flOverbrightFactor
a83ebe17 g_OverrideColorFactor
a844b78d g_flWindLowFrequencyEffects
a8652aa8 g_flScrollWaveOffsetSeconds2
a8982567 g_flNormalMapStrength
a8ab3263 g_tBaseTexture
a8eeded5 g_flRoundness
a8ef7cfb g_tLightDepthBuffer
a9049eeb g_nValue
a927c663 g_tLightingClipmap2
a9617a11 g_vSelfIllumFlowPhaseDetail01UVOffset
a99f4258 TextureTint2Mask3
a9b1ba22 TextureColorWarp3D
a9ca6e56 g_flFalloffCenter
a9e45763 SkyTexture
aa02b5fd g_tNoise
aa40825a g_vTextureScale
aa5d4177 g_flScreenShakeFactor
aa66dd90 g_tA
aa78dc95 g_tInsideWallVoidColor
aa9a2726 g_vInputViewport
aac68346 g_bLayer2Mod2x
aacb983b g_flFalloffRange
ab025f3b g_flStrength
ab09d4e9 g_tStretchColor
ab11f947 g_flAnimation2Strength
ab12de24 g_tCubemap
ab12de24 g_tCubeMap
ab2623c0 g_flNormalTexCoordRotation1
ab322b37 g_flTexCoordRotate3
ab494647 g_vInvWidthHeight0
ab4ddecb g_flCubeMapStrength
ab5198af g_flNormalFlowUvScrollDistance
ab73363d g_tReflexSightTexture
ab772248 g_vLayer3Scale
ab7cd6fb g_flFOWSoftness
abc28910 g_vWallPlaneUp
abf534c2 TextureColorC
ac119c18 g_bUseSecondaryUvForDetailMask
ac2b98db g_flNoiseStrength
ac3d05aa TextureColorA
ac498ce8 g_flReflexOffTargetFadeInDistance
ac669c6a g_bAllowGlobalColorTintLayer2
aceb7d48 g_flLiquidBackOffset
acefeb20 TextureTranslucency
acf8008b g_flSecondSpecularLobeRatio
acfaa739 g_vNormalTransform2V
ad00f5e6 g_flTileScale
ad604b2d g_LineThickness
ad6f8e6f g_flTrunkDeflectionStart
ada38d2f g_flColorStepsoftness
adc3cea4 g_tMapTexture
adda6bbd g_vGrimeTint
ade880f9 g_flTextureVScale
adfc5293 g_flFogHeight
adfebfb2 g_flBlurZThresh
ae0bc214 g_tInputLargeBlur
ae24f4d2 g_flMetalnessA
ae296d55 g_vDofEqFar
ae2a92b4 g_vMoonConfig8
ae2b3bc0 g_flLineAlpha
ae2fc421 g_tEnvironmentMapArray
ae6a89f4 g_tCameraDepth
ae6bb3ce g_flBackgroundHologramStrength
ae7e35a9 g_vDissolveEdgeColor
ae809f13 g_flOpacity
aea152ff g_flDetailTexCoordRotation
aea67e70 TextureStretchColor
aebdab86 g_flSelfIllumBrightnessPass2
af097e8f g_nScaleTexCoordUByModelScaleAxis
af18718d g_bBloodUseUV2
af563a31 PerViewRuntimeFastPathLightingConstantBuffer_t
af5bc363 g_bFrondAnimationNormalFacing
af64a8b1 g_flXenGlowRadius
af93288e g_vColorTint3
af99ee32 g_flSpecularBloom
afa91677 TextureReflectance
afc44292 StencilEnable
afcc148d g_lightTexturesDescSet
afe573f7 g_vInvSourceDim
aff56fa4 g_vNormalTexCoordOffset
aff92488 g_tSFMCookieTextureArray
b009ae7c g_tLastFrameFogVolume
b0260d6e g_vPositionKeyFramesInvDim
b04dde44 g_flLayer2Max
b060e180 g_flFlowPhaseDetailTexCoordRotation
b06fad74 g_tGBufferRoughnessReflectanceMetalnessMask
b084183b InLightingTexture
b08539af g_flTextureUScale
b088d301 g_vNPCPosition02
b09449b7 g_vGlobalTint
b09747fa g_flEnvMapBlendToFull
b098c4af g_tIrisMask
b09aa214 g_flAntiAliasedEdgeStrength
b0c3f217 g_vTexCoordOffset
b0e2f952 g_vModulationColor2
b1011632 g_flCloakBlurAmount
b121ec88 g_vHandVelocity1
b1240fb7 g_vLayer1GlossinessRange
b12f61fc g_flXenTipStrength
b1b6d86e g_vLiquidColor
b1c38ae4 TextureSplat
b1d35e66 PerIrradVolumeCB
b207635f g_flNormalFlowLerpExp
b208f672 g_flColorWarp0Influence
b216a75e g_flInteriorDirectLightScale
b233d738 g_vLayer4RoughnessScaleAndBias
b2365522 g_flBorderTintSoftness3
b24006b9 g_vBm
b245c755 g_vDetail2TexCoordXformFromCode
b27794d4 g_vLiquidLevelUpwardsMinMidMax
b2877aa2 g_flLayer1BorderStrength
b2900e5d g_vReflexSightIntersectionPosWs
b2bf90ed g_flWindLinearity
b2c9c2d0 g_vSelfIllumMaskUVOffset
b2f429c5 g_tLightProbeVolumeTextureDirectLightScalars
b30ff1e7 g_flIrisBumpStrength
b31d8f42 TextureDiffuseWarpMask
b32eb34d TextureSpiralOverlayAlpha
b34fc256 g_vTintColor
b3683aab g_vMetalnessScaleAndBias
b37bebd7 g_tNormal2
b3bf7c6a g_particleManagerDescSet
b3dbde83 g_flCloakFactor
b3ecc4fe g_vMinLightColor
b40d9966 g_flBendScale
b415f2b5 TextureHeightMap
b415fb0a g_flAdditiveAmount
b420bd1b TextureBrightPixels
b431452d g_tHighQualityShadowDepth
b43ee274 g_tGBufferNormalAndFresnel
b49ad704 g_vGlossinessRange
b4fd8d9a g_vTextureDims
b537b5e4 g_vAxis
b55b32cf g_flGrassFlexibility
b571e4da FancyQuadRadialClipConstants_t
b57d312a g_flBloom
b59dcd70 g_bAllowGlobalColorTintLayer0
b59fd2c6 g_flSunLightAmbientOcclusionFactor
b5a53b03 g_vFogBoundingBoxInvMinScaleWithBias2
b5ee9ec5 g_vFlatOverlayColor
b5f9fe96 g_tTextureLayer2Clamped
b618b972 g_nMinSamples
b6537635 g_flScleraDiffuseExponent
b6583457 g_flBoundaryWobbleSpeed
b68322af g_flCubeRefractBrightness
b69e705e g_tInteractionTriggerVolumeMap
b6b2cb59 g_flBranchDeflection
b6b5da14 g_flOutlineWidthVariation
b6e7b6dd g_flRefractionIndex
b70cc5b4 g_tSource2
b74e763c g_bLayer1PunchIn
b754a619 g_vMatRow0
b7584886 g_flRefractMaxDuDvDistance
b766d203 g_tDryEraseMarker
b76d4f0e g_flLayer3BlendSoftness
b77b3543 g_tSkyTextureCube
b793bf9f g_tTexture1
b797d01b g_vTexCoordOffset0
b7b8225c g_vTint
b7befd25 g_flValNoiseScale
b811ea89 g_flColorScale
b816525f TextureAmbientOcclusion
b8178c69 g_vViewFadeColor
b829896f g_flReflectionsTintByBaseBlendToNone
b835320a g_tFresnel2Color
b84544e6 InsideWallReturnToLevelTrans
b84bde83 WoundData_t
b8848157 g_tIrradianceSampleParams
b891d852 g_vQuarterResEffectsBloomDestViewport
b8faf283 g_vMyCameraPosWs
b90a5f53 g_tShadowDepthMapAtlas
b973481a g_vSelfIllumFlowPhaseDetail01UVScale
b975705e g_bUseObjectPivot
ba4276ad MaxAniso
ba456f48 g_tFresnelWarp
ba7f60f4 g_flScrollWaveHeight1
ba91bf12 g_vBorderColorTint3
ba91de75 TextureLayer3RevealMask
bab9244d TextureOcclusion
bb0dbec2 g_vTexCoordScale2
bb1e7f81 g_flSpiralOverlaySpeedMultiple
bb3e8174 g_flBloomScale
bb4b9803 g_flLayer2BlendSoftness
bb516f10 g_vNPCVelocity05
bb5d5b6b g_flTime
bbda4ffe g_vTexCoordTransform2U
bbef0957 g_flTrunkDeflection
bc3c26df g_vSunRadiance
bc4e5451 g_vLayer2Scale
bd11c27b g_flColorStepBlend
bd283fd9 g_tSpecExp
bd31554a g_vExplosion03
bd490a16 PostProcessingParams_t
bd4a4c60 g_flDetailSpecularExponent
bd517b78 AoProxyConstantBuffer_t
bd603f39 g_nDecalSlot
bd68c685 g_tScanlines
bd79c817 g_flGreensteinCoeff
bd8da9a0 g_vLensCenterPosition
bd9556f9 g_flFrondDeflectionStart
bdaf5124 g_tLayer3Roughness
bdaf89c9 g_flColorStepPower
bdbd3e75 g_nCubemapIndex
bdce0eea g_flAnimationSpatialVariance
bdd1a05b g_vColorTintC3
be07894d DotaGlobalParams_t
be180016 g_flSatNoiseScale
bed12bb0 g_flSpecularCoefficient
bed25137 TextureJitterControl
bee98d59 TextureParallaxMask0
bf31ae46 g_flScrollWaveCycleSkip2
bf36bbe9 StencilRef
bf3fdfa3 TextureParallaxMask2
bf704bc2 g_vCurrMipBlurTint
bf802063 g_tVrShadowDepthBufferDepthNoCmp
bf858bf9 g_vTexCoordScroll1
bfc52714 StencilWriteMask
bfca465b g_flBubbleScale
bfdf8b25 g_tTintColor
c0061996 g_flCubeMapScalarReflect
c02531bb TextureOnGradient
c0566d54 g_flLayer2EdgeNormalSoftness
c09d3129 TextureTintMask1
c0c82aa9 TextureEmissiveC
c0dfb238 g_flTintScale
c1110649 g_vAmbientOcclusionColor
c137207c g_vLayer2ReflectanceScaleAndBias
c16002d6 g_vOutsideWallTintInner
c1b88d07 g_flEdgeSharpness
c1bda61e g_vLayer0ReflectanceScaleAndBias
c1c5abbb g_vLightDir
c1c7194a TextureSelfIllumMask3
c20793c9 g_vrLightingSet
c2137439 g_tDepthTextureVr
c2270b7f g_tVSyncControl
c24c188f g_flReflectRimPower
